robomaster-20140126-sau/wav/ru_0032,через несколько лет путешествие на марс будет не более сложно чем перелёт из москвы в берлин,C H I R 0 I Z N 0 E 0 S K A L 0 K A L 0 E 0 T P U T 0 I S H E 0 S T V 0 I J I N A M A 0 R Z B U 0 D 0 I T N 0 I B O 0 L 0 I J I S L O 0 Z H N A C H E 0 M P 0 I R 0 I L 0 O 0 T Y Z M A S K V Y 0 V B 0 I R L 0 I 0 N
robomaster-20140126-sau/wav/ru_0033,на глаз скайльс определил что яйцеобразный аппарат был не менее восьми с половиной метров высоты и шести метров в поперечнике,N A G L A 0 S K A 0 J L 0 S A P R 0 I D 0 I L 0 I 0 L S H T O J I J C Y A B R A 0 Z N Y J A P A R A 0 D B Y 0 L N 0 I M 0 E 0 N 0 I J I V A S 0 M 0 I 0 S P A L A V 0 I 0 N A J M 0 E 0 T R A V Y S A T Y 0 I S H Y S 0 T 0 I 0 M 0 E 0 T R A V F P A P 0 I R 0 E 0 C H N 0 I K 0 I
robomaster-20140126-sau/wav/ru_0034,его окружала двойная массивной стали круглая спираль свёрнутая в противоположные стороны буфер,J I G O 0 A K R U Z H A 0 L A D V A J N A 0 J A M A S 0 I 0 V N A J S T A 0 L 0 I K R U 0 G L A J A S P 0 I R A 0 L 0 S V 0 O 0 R N U T A J A F P R A T 0 I V A P A L O 0 Z H N Y J I S T O 0 R A N Y B U 0 F 0 I R
robomaster-20140126-sau/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали внутри хорошо укреплён рёбрами и лёгкими фермами,A P A R A 0 D B Y 0 L P A S T R O 0 J I N Y Z M 0 A 0 H K A J I T U G A P L A 0 F K A J S T A 0 L 0 I V N U T R 0 I 0 H A R A S H O 0 U K R 0 I P L 0 O 0 N R 0 O 0 B R A M 0 I L 0 O 0 H 0 K 0 I M 0 I F 0 E 0 R M A M 0 I
robomaster-20140126-sau/wav/ru_0036,внутри этого второго кожаного стёганого яйца находились аппараты наблюдения и движения кислородные баки ящики для поглощения углекислоты полые подушки для инструментов и провизии,V N U T R 0 I 0 E 0 T A V A F T A R O 0 V A K O 0 Z H A N A V A S 0 T 0 O 0 G A N A V A J I J C A 0 N A H A D 0 I 0 L 0 I S 0 A P A R A 0 T Y N A B L 0 U D 0 E 0 N 0 I J A I D V 0 I Z H E 0 N 0 I J A K 0 I S L A R O 0 D N Y J I B A 0 K 0 I J A 0 S H 0 I K 0 I D 0 L 0 A P A G L A S H 0 E 0 N 0 I J A U G L 0 I K 0 I S L A T Y 0 P O 0 L Y J I P A D U 0 S H K 0 I D 0 L 0 A I N S T R U M 0 E 0 N T A V Y P R A V 0 I 0 Z 0 I
robomaster-20140126-sau/wav/ru_0037,таков в общих чертах был принцип движущего механизма это была ракета,T A K O 0 V O 0 P S H 0 I H C H I R T A 0 H B Y 0 L P R 0 I 0 N C Y B D V 0 I 0 Z H U S H 0 I V A M 0 I H A N 0 I 0 Z M A E 0 T A B Y L A 0 R A K 0 E 0 T A
robomaster-20140126-sau/wav/ru_0038,аванс шесть фельетонов по двести строк чек можете учесть в стокгольме,A V A 0 N S S H E 0 S 0 T 0 F 0 I L 0 J I T O 0 N A F P A D V 0 E 0 S 0 T 0 I S T R O 0 K C H E 0 K M O 0 Z H Y T 0 I U C H E 0 S 0 T 0 F S T A G O 0 L 0 M 0 I
robomaster-20140126-sau/wav/ru_0039,что у этой барышни было в голове не пойму до сих пор,S H T O U E 0 T A J B A 0 R Y S H N 0 I B Y 0 L A V G A L A V 0 E 0 N 0 I P A J M U 0 D A S 0 I 0 H P O 0 R
robomaster-20140126-unj/wav/ru_0076,несколько линий точек и полукружий разбросано к западу и востоку от этой экваториальной группы,N 0 E 0 S K A L 0 K A L 0 I 0 N 0 I J T O 0 C H I K Y P A L U K R U 0 Z H Y J R A Z B R O 0 S A N A G Z A 0 P A D U I V A S T O 0 K U A T E 0 T A J I K V A T A R 0 I A 0 L 0 N A J G R U 0 P Y
robomaster-20140126-unj/wav/ru_0077,лось жадно вглядывался в эту сеть линий вот они сводящие с ума астрономов постоянно меняющиеся геометрически правильные непостигаемые каналы марса,L O 0 Z Z H A 0 D N A V G L 0 A 0 D Y V A L S 0 A V E 0 T U S 0 E 0 T 0 L 0 I 0 N 0 I J V O 0 T A N 0 I 0 S V A D 0 A 0 S H 0 I J I S U M A 0 A S T R A N O 0 M A F P A S T A J A 0 N A M 0 I N 0 A 0 J U S H 0 I J I S 0 A G 0 I A M 0 I T R 0 I 0 C H I S K 0 I P R A 0 V 0 I L 0 N Y J I N 0 I P A S 0 T 0 I G A 0 J I M Y J I K A N A 0 L Y M A 0 R S A
robomaster-20140126-unj/wav/ru_0078,лось кинулся к реостатам попали алексей иванович притягиваемся падаем,L O 0 S 0 K 0 I 0 N U L S 0 A K R 0 I A S T A 0 T A M P A P A 0 L 0 I A L 0 I K S 0 E 0 J I V A 0 N A V 0 I C H P R 0 I T 0 A 0 G 0 I V A J I M S 0 A P A 0 D A J I M
robomaster-20140126-unj/wav/ru_0079,казалось из чёрной бездны он сам теперь летел на них,K A Z A 0 L A S 0 I S C H O 0 R N A J B 0 E 0 Z N Y O 0 N S A 0 M T 0 I P 0 E 0 R 0 L 0 I T 0 E 0 L N A N 0 I 0 H
robomaster-20140126-unj/wav/ru_0080,аппарат прорезывал облака над тусклой равниной и ревя и сотрясаясь медленно теперь опускался садимся успел только крикнуть лось и выключил двигатель,A P A R A 0 T P R A R 0 E 0 Z Y V A L A B L A K A 0 N A T U 0 S K L A J R A V N 0 I 0 N A J I R 0 I V 0 A 0 I S A T R 0 I S A 0 J I S 0 M 0 E 0 D 0 L 0 I N A T 0 I P 0 E 0 R 0 A P U S K A 0 L S 0 A S A 0 D 0 I M S 0 A U S P 0 E 0 L T O 0 L 0 K A K R 0 I 0 K N U T 0 L O 0 S 0 I V Y 0 K L 0 U C H I L D V 0 I 0 G A T 0 I L 0
robomaster-20140126-unj/wav/ru_0081,мышь понемногу ожила подняла нос стала шевелить усами умылась,M Y 0 S H 0 P A N 0 I M N O 0 G U A Z H Y L A 0 P A D 0 N 0 I L A 0 N O 0 S T A 0 L A S H Y V 0 I L 0 I 0 T 0 U S A 0 M 0 I U M Y 0 L A S 0
robomaster-20140126-unj/wav/ru_0082,покалывало грудь стучала кровь в виски но дышалось легко воздух был тонок и сух,P A K A 0 L Y V A L A G R U 0 T 0 S T U C H A 0 L A K R O 0 F 0 V V 0 I S K 0 I 0 N O 0 D Y S H A 0 L A S 0 L 0 I H K O 0 V O 0 Z D U H B Y 0 L T O 0 N A K Y S U 0 H
robomaster-20140126-unj/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
robomaster-20140126-unj/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
robomaster-20140126-unj/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
senia-20110504-xnr/wav/ru_0081,мышь понемногу ожила подняла нос стала шевелить усами умылась,M Y 0 S H 0 P A N 0 I M N O 0 G U A Z H Y L A 0 P A D 0 N 0 I L A 0 N O 0 S T A 0 L A S H Y V 0 I L 0 I 0 T 0 U S A 0 M 0 I U M Y 0 L A S 0
senia-20110504-xnr/wav/ru_0082,покалывало грудь стучала кровь в виски но дышалось легко воздух был тонок и сух,P A K A 0 L Y V A L A G R U 0 T 0 S T U C H A 0 L A K R O 0 F 0 V V 0 I S K 0 I 0 N O 0 D Y S H A 0 L A S 0 L 0 I H K O 0 V O 0 Z D U H B Y 0 L T O 0 N A K Y S U 0 H
senia-20110504-xnr/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
senia-20110504-xnr/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
senia-20110504-xnr/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
senia-20110504-xnr/wav/ru_0087,отсюда была видна холмистая равнина того же апельсинового но более тусклого цвета,A C U 0 D A B Y L A 0 V 0 I 0 D N A H A L M 0 I 0 S T A J A R A V N 0 I 0 N A T A G O 0 Z H Y A P 0 I L 0 S 0 I 0 N A V A V A N O 0 B O 0 L 0 I J I T U 0 S K L A V A C V 0 E 0 T A
senia-20110504-xnr/wav/ru_0088,привычной хваткой расстегнул кобуру вытащил револьвер эй закричал он кто там у аппарат так вашу эдак,P R 0 I V Y 0 C H N A J H V A 0 T K A J R A S S 0 T 0 I G N U 0 L K A B U R U 0 V Y 0 T A S H 0 I L R 0 I V A L 0 V 0 E 0 R E 0 J Z A K R 0 I C H A 0 L O 0 N K T O 0 T A 0 M U A P A R A 0 T A 0 K V A 0 S H U E 0 D A K
senia-20110504-xnr/wav/ru_0089,от берега до ближайшей кущи деревьев лось и гусев шли по горелому бурому праху перепрыгивали через обсыпавшиеся неширокие каналы огибали высохшие прудики,A D B 0 E 0 R 0 I G A D A B L 0 I Z H A 0 J S H Y J K U 0 S H 0 I D 0 I R 0 E 0 V 0 J I V L O 0 S 0 I G U 0 S 0 I F S H L 0 I 0 P A G A R 0 E 0 L A M U B U 0 R A M U P R A 0 H U P 0 I R 0 I P R Y 0 G 0 I V A L 0 I C H I R 0 I Z A P S Y 0 P A F S H Y J I S 0 A N 0 I S H Y R O 0 K 0 I J I K A N A 0 L Y A G 0 I B A 0 L 0 I V Y 0 S A H S H Y J I P R U 0 D 0 I K 0 I
senia-20110504-xnr/wav/ru_0093,гусев нагнулся и пхнул ногой из-под праха покатился проломанный человеческий череп в зубах его блеснуло золото,G U 0 S 0 I V N A G N U 0 L S 0 A I P H N U 0 L N A G O 0 J I S P A T P R A 0 H A P A K A T 0 I 0 L S 0 A P R A L O 0 M A N Y J C H I L A V 0 E 0 C H I S K 0 I J C H E 0 R 0 I P V Z U B A 0 H J I G O 0 B L 0 I S N U 0 L A Z O 0 L A T A
senia-20110504-xnr/wav/ru_0094,сейчас же второй паук побежал из-за дома к деревьям поднимая коричневую пыльцу и ткнулся в колючую сеть стал биться в ней вытягивая ноги,S 0 I J C H A 0 Z Z H Y F T O 0 R A J P A U 0 K P A B 0 I Z H A 0 L Y Z A D O 0 M A G D 0 I R 0 E 0 V 0 J I M P A D 0 N 0 I M A 0 J A K A R 0 I 0 C H N 0 I V U J U P Y L 0 C U 0 I T K N U 0 L S 0 A F K A L 0 U 0 C H U J U S 0 E 0 T 0 S T A 0 L B 0 I 0 C A V N 0 E 0 J V Y T 0 A 0 G 0 I V A J A N O 0 G 0 I
senia-20110505-hzc/wav/ru_0001,корреспондент американской газеты арчибальд скайлс проходя мимо увидел стоявшую перед объявлением босую молодую женщину в ситцевом опрятном платье она читала шевеля губами,K A R 0 I S P A N 0 D 0 E 0 N T A M 0 I R 0 I K A 0 N S K A J G A Z 0 E 0 T Y A R 0 C H I B A 0 L 0 T S K A 0 J L S P R A H A D 0 A 0 M 0 I 0 M A U V 0 I 0 D 0 I L S T A J A 0 F S H U J U P 0 E 0 R 0 I T A B J I V L 0 E 0 N 0 I J I M B A S U 0 J U M A L A D U 0 J U Z H E 0 N S H 0 I N U F S 0 I 0 C Y V A M A P R 0 A 0 T N A M P L A 0 T 0 J I A N A 0 C H I T A 0 L A S H Y V 0 I L 0 A 0 G U 0 B A M 0 I
senia-20110505-hzc/wav/ru_0002,она завела прядь волнистых волос за ухо подняла с тротуара корзинку с зеленью и пошла через улицу,A N A 0 Z A V 0 I L A 0 P R 0 A 0 T 0 V A L N 0 I 0 S T Y H V A L O 0 Z A U 0 H A P A D 0 N 0 I L A 0 S T R A T U A 0 R A K A R Z 0 I 0 N K U Z Z 0 E 0 L 0 I N 0 J U I P A S H L A 0 C H I R 0 I Z U 0 L 0 I C U
senia-20110505-hzc/wav/ru_0003,со спокойным мужеством скайлс ожидал всего в этом безумном городе,S A S P A K O 0 J N Y M U 0 Z H Y S T V A M S K A 0 J L S A Z H Y D A 0 L F S 0 I G O 0 V E 0 T A M B 0 I Z U 0 M N A M G O 0 R A D 0 I
senia-20110505-hzc/wav/ru_0004,окна многоэтажных домов иные разбитые иные заколоченные досками казались нежилыми ни одна голова не выглядывала на улицу,O 0 K N A M N A G A I T A 0 Z H N Y H D A M O 0 V Y N Y 0 J I R A Z B 0 I 0 T Y J I N Y 0 J I Z A K A L O 0 C H I N Y J I D O 0 S K A M 0 I K A Z A 0 L 0 I S 0 N 0 I Z H Y L Y 0 M 0 I N 0 I A D N A 0 G A L A V A 0 N 0 I V Y G L 0 A 0 D Y V A L A N A U 0 L 0 I C U
senia-20110505-hzc/wav/ru_0005,в это время перед объявлением остановился рослый широкоплечий человек без шапки по одежде солдат в рубахе без пояса в обмотках,V E 0 T A V R 0 E 0 M 0 A P 0 E 0 R 0 I T A B J I V L 0 E 0 N 0 I J I M A S T A N A V 0 I 0 L S 0 A R O 0 S L Y J S H Y R A K A P L 0 E 0 C H I J C H I L A V 0 E 0 G B 0 I S S H A 0 P K 0 I P A D 0 E 0 Z H D 0 I S A L D A 0 T V R U B A 0 H 0 I B 0 I S P O 0 J I S A V A B M O 0 T K A H
senia-20110505-hzc/wav/ru_0006,глаза ленивые серо-карие и так же как у той женщины с искоркой,G L A Z A 0 L 0 I N 0 I 0 V Y J I S 0 E 0 R A K A 0 R 0 I J I T A 0 G Z H Y K A 0 K U T O 0 J Z H E 0 N S H 0 I N Y S Y 0 S K A R K A J
senia-20110505-hzc/wav/ru_0008,скайльс тоже теперь прищурясь оглянул солдата вспыхнул гневно и пошёл по направлению к неве шагал уверенно и широко,S K A 0 J L 0 S T O 0 Z H Y T 0 I P 0 E 0 R 0 P R 0 I S H 0 U 0 R 0 I S 0 A G L 0 I N U 0 L S A L D A 0 T A F S P Y 0 H N U L G N 0 E 0 V N A I P A S H O 0 L P A N A P R A V L 0 E 0 N 0 I J U K N 0 I V 0 E 0 S H A G A 0 L U V 0 E 0 R 0 I N A I S H Y 0 R A K A
senia-20110505-hzc/wav/ru_0095,в гладких стенах узкие как щели глубокие отверстия окон,V G L A 0 T K 0 I H S 0 T 0 I N A 0 H U 0 S K 0 I J I K A 0 K S H 0 E 0 L 0 I G L U B O 0 K 0 I J I A T V 0 E 0 R S 0 T 0 I J A O 0 K A N
senia-20110505-hzc/wav/ru_0099,они минули тёмный вестибюль и вошли в многоугольную высокую залу,A N 0 I 0 M 0 I N U 0 L 0 I T 0 O 0 M N Y J V 0 I S 0 T 0 I B 0 U 0 L 0 I V A S H L 0 I 0 V M N A G A U G O 0 L 0 N U J U V Y S O 0 K U J U Z A 0 L U
senia-20110505-hzc/wav/ru_0100,свет проникал в неё сквозь забранные стеклом отверстия сводчатого купола,S V 0 E 0 T P R A N 0 I K A 0 L V N 0 I J O 0 S K V O 0 Z 0 Z A 0 B R A N Y J I S 0 T 0 I K L O 0 M A T V 0 E 0 R S 0 T 0 I J A S V O 0 T C H I T A V A K U 0 P A L A
sens-20110505-lxn/wav/ru_0004,окна многоэтажных домов иные разбитые иные заколоченные досками казались нежилыми ни одна голова не выглядывала на улицу,O 0 K N A M N A G A I T A 0 Z H N Y H D A M O 0 V Y N Y 0 J I R A Z B 0 I 0 T Y J I N Y 0 J I Z A K A L O 0 C H I N Y J I D O 0 S K A M 0 I K A Z A 0 L 0 I S 0 N 0 I Z H Y L Y 0 M 0 I N 0 I A D N A 0 G A L A V A 0 N 0 I V Y G L 0 A 0 D Y V A L A N A U 0 L 0 I C U
sens-20110505-lxn/wav/ru_0005,в это время перед объявлением остановился рослый широкоплечий человек без шапки по одежде солдат в рубахе без пояса в обмотках,V E 0 T A V R 0 E 0 M 0 A P 0 E 0 R 0 I T A B J I V L 0 E 0 N 0 I J I M A S T A N A V 0 I 0 L S 0 A R O 0 S L Y J S H Y R A K A P L 0 E 0 C H I J C H I L A V 0 E 0 G B 0 I S S H A 0 P K 0 I P A D 0 E 0 Z H D 0 I S A L D A 0 T V R U B A 0 H 0 I B 0 I S P O 0 J I S A V A B M O 0 T K A H
sens-20110505-lxn/wav/ru_0006,глаза ленивые серо-карие и так же как у той женщины с искоркой,G L A Z A 0 L 0 I N 0 I 0 V Y J I S 0 E 0 R A K A 0 R 0 I J I T A 0 G Z H Y K A 0 K U T O 0 J Z H E 0 N S H 0 I N Y S Y 0 S K A R K A J
sens-20110505-lxn/wav/ru_0008,скайльс тоже теперь прищурясь оглянул солдата вспыхнул гневно и пошёл по направлению к неве шагал уверенно и широко,S K A 0 J L 0 S T O 0 Z H Y T 0 I P 0 E 0 R 0 P R 0 I S H 0 U 0 R 0 I S 0 A G L 0 I N U 0 L S A L D A 0 T A F S P Y 0 H N U L G N 0 E 0 V N A I P A S H O 0 L P A N A P R A V L 0 E 0 N 0 I J U K N 0 I V 0 E 0 S H A G A 0 L U V 0 E 0 R 0 I N A I S H Y 0 R A K A
sens-20110505-lxn/wav/ru_0009,на куче песку один во всём сквере видимо уже давно сидел маленький мальчик в грязной рубашке горошком и без штанов,N A K U 0 C H I P 0 I S K U 0 A D 0 I 0 N V A F S 0 O 0 M S K V 0 E 0 R 0 I V 0 I 0 D 0 I M A U 0 Z H Y D A V N O 0 S 0 I D 0 E 0 L M A 0 L 0 I N 0 K 0 I J M A 0 L 0 C H I K V G R 0 A 0 Z N A J R U B A 0 S H K 0 I G A R O 0 S H K A M Y B 0 I S S H T A N O 0 F
sens-20110505-lxn/wav/ru_0010,в руке он держал конец верёвочки к другому концу верёвочки была привязана за ногу старая взлохмаченная ворона,V R U K 0 E 0 O 0 N 0 D 0 I R Z H A 0 L K A N 0 E 0 C V 0 I R 0 O 0 V A C H K 0 I G D R U G O 0 M U K A N C U 0 V 0 I R 0 O 0 V A C H K 0 I B Y L A 0 P R 0 I V 0 A 0 Z A N A Z A 0 N A G U S T A 0 R A J A V Z L A H M A 0 C H I N A J A V A R O 0 N A
sens-20110505-lxn/wav/ru_0011,мальчик ворона пустые дома пустынные улицы странные взгляды прохожих и приколоченное гвоздиками объявление кто-то зовёт лететь из этого города в звёздную пустыню,M A 0 L 0 C H I K V O 0 R A N A P U S T Y 0 J I D A M A 0 P U S T Y 0 N Y J I U 0 L 0 I C Y S T R A 0 N Y J I V Z G L 0 A 0 D Y P R A H O 0 Z H Y H Y P R 0 I K A L O 0 C H I N A J I G V A Z 0 D 0 I 0 K A M 0 I A B J I V L 0 E 0 N 0 I J I K T O 0 T A Z A V 0 O 0 T L 0 I T 0 E 0 T 0 I Z E 0 T A V A G O 0 R A D A V Z V 0 O 0 Z N U J U P U S T Y 0 N 0 U
sens-20110505-lxn/wav/ru_0012,развернул план петербурга и водя по нему концом трубки отыскал ждановскую набережную,R A Z V 0 I R N U 0 L P L A 0 N P 0 I T 0 I R B U 0 R G A I V A D 0 A 0 P A N 0 I M U 0 K A N C O 0 M T R U 0 P K 0 I A T Y S K A 0 L Z H D A 0 N A F S K U J U N A 0 B 0 I R 0 I Z H N U J U
sens-20110505-lxn/wav/ru_0013,небольшая дверца в нём была приотворена на пороге сидел на корточках рабочий и размешивал в ведёрке кирпично-красный сурик,N 0 I B A L 0 S H A 0 J A D V 0 E 0 R C A V N 0 O 0 M B Y L A 0 P R 0 I A T V O 0 R 0 I N A N A P A R O 0 G 0 I S 0 I D 0 E 0 L N A K O 0 R T A C H K A H R A B O 0 C H I J I R A Z M 0 E 0 S H Y V A L V V 0 I D 0 O 0 R K 0 I K 0 I R P 0 I 0 C H N A K R A 0 S N Y J S U 0 R 0 I K
sens-20110505-lxn/wav/ru_0014,на вопрос скайльса здесь ли можно видеть инженера лося рабочий кивнул во внутрь сарая,N A V A P R O 0 S K A 0 J L 0 S A Z 0 D 0 E 0 S 0 L 0 I M O 0 Z H N A V 0 I 0 D 0 I T 0 I N Z H Y N 0 E 0 R A L O 0 S 0 A R A B O 0 C H I J K 0 I V N U 0 L V A V N U 0 T R 0 S A R A 0 J A
sevenlite-20110505-oeg/wav/ru_0055,потом взошёл на лесенку телескопа нашёл искателем марс поднявшийся уже над петербургом и долго глядел на небольшой ясный тёплый шарик,P O 0 T A M V Z A S H O 0 L N A L 0 E 0 S 0 I N K U T 0 I L 0 I S K O 0 P A N A S H O 0 L Y S K A 0 T 0 I L 0 I M A 0 R S P A D 0 N 0 A 0 F S H Y J S 0 A U 0 Z H Y N A T P 0 I T 0 I R B U 0 R G A M Y D O 0 L G A G L 0 I D 0 E 0 L N A N 0 I B A L 0 S H O 0 J A 0 S N Y J T 0 O 0 P L Y J S H A 0 R 0 I K
sevenlite-20110505-oeg/wav/ru_0056,ах боже мой какие могли быть дела важнее катюшиной любви,A 0 H B O 0 Z H Y M O 0 J K A K 0 I 0 J I M A G L 0 I 0 B Y 0 D D 0 I L A 0 V A Z H N 0 E 0 J I K A T 0 U 0 S H Y N A J L 0 U B 0 V 0 I 0
sevenlite-20110505-oeg/wav/ru_0058,осенний ветер над катей лежащей в земле под крестом,A S 0 E 0 N 0 I J V 0 E 0 T 0 I R N A T K A 0 T 0 I J L 0 I Z H A 0 S H 0 I J V Z 0 I M L 0 E 0 P A T K R 0 I S T O 0 M
sevenlite-20110505-oeg/wav/ru_0059,накинул пальто и зашагал через пустырь на большую монетную улицу к себе на квартиру где полгода тому назад умерла катя,N A K 0 I 0 N U L P A L 0 T O 0 I Z A S H A G A 0 L C H I R 0 I S P U S T Y 0 R 0 N A B O 0 L 0 S H U J U M A N 0 E 0 T N U J U U 0 L 0 I C U K S 0 I B 0 E 0 N A K V A R T 0 I 0 R U G D 0 E 0 P A L G O 0 D A T A M U 0 N A Z A 0 T U M 0 I R L A 0 K A 0 T 0 A
sevenlite-20110505-oeg/wav/ru_0060,он открыл дверь в спальню где после смерти кати он никогда не ночевал,O 0 N A T K R Y 0 L D V 0 E 0 R 0 F S P A 0 L 0 N 0 U G D 0 E 0 P A S 0 L 0 E 0 S M 0 E 0 R T 0 I K A 0 T 0 I O 0 N 0 I K A G D A 0 N 0 I N A C H I V A 0 L
sevenlite-20110505-oeg/wav/ru_0062,над головой летела не могла улететь весёлая женщина с весёлыми младенцами,N A D G A L A V O 0 J L 0 I T 0 E 0 L A N 0 I M A G L A 0 U L 0 I T 0 E 0 T 0 V 0 I S 0 O 0 L A J A Z H E 0 N S H 0 I N A S V 0 I S 0 O 0 L Y M 0 I M L A D 0 E 0 N C A M 0 I
sevenlite-20110505-oeg/wav/ru_0063,семь лет меня ни пуля ни штык не могли истребить,S 0 E 0 M 0 L 0 E 0 T M 0 I N 0 A 0 N 0 I P U 0 L 0 A N 0 I S H T Y 0 K N 0 I M A G L 0 I 0 I S T R 0 I B 0 I 0 T 0
sevenlite-20110505-oeg/wav/ru_0064,он сел к столу начал лупить варёную картошку разломил окунул в соль на завтра приготовь чистое две смены рубашки подштаники подвёртки,O 0 N 0 S 0 E 0 L K S T A L U 0 N A 0 C H I L U P 0 I 0 T 0 V A R 0 O 0 N U J U K A R T O 0 S H K U R A Z L A M 0 I 0 L A K U N U 0 L F S O 0 L 0 N A Z A 0 F T R A P R 0 I G A T O 0 F 0 C H I 0 S T A J I D V 0 E 0 S M 0 E 0 N Y R U B A 0 S H K 0 I P A T S H T A 0 N 0 I K 0 I P A D V 0 O 0 R T K 0 I
sevenlite-20110505-oeg/wav/ru_0065,шли с набережной бежали из переулков бубнили сбивались в кучки лежали на чахлой траве поглядывали на низкое солнце пустившее сквозь облака широкие лучи,S H L 0 I 0 S N A 0 B 0 I R 0 I Z H N A J B 0 I Z H A 0 L 0 I S P 0 I R 0 I U 0 L K A V B U B N 0 I 0 L 0 I Z B 0 I V A 0 L 0 I S 0 F K U 0 C H K 0 I L 0 I Z H A 0 L 0 I N A C H A 0 H L A J T R A V 0 E 0 P A G L 0 A 0 D Y V A L 0 I N A N 0 I 0 S K A J I S O 0 N C Y P U S 0 T 0 I 0 F S H Y J I S K V O 0 S 0 A B L A K A 0 S H Y R O 0 K 0 I J I L U C H I 0
ski/wav/ski_ru_0002,он сел в такси дверцу которого открыл шофёр,O 0 N 0 S 0 E 0 L F T A K S 0 I 0 D V 0 E 0 R C U K A T O 0 R A V A T K R Y 0 L S H A F 0 O 0 R
ski/wav/ski_ru_0003,начиная свою большую игру я не думал о деньгах,N A C H I N A 0 J A S V O 0 J U B O 0 L 0 S H U J U I G R U 0 J A 0 N 0 I D U 0 M A L A D 0 E 0 N 0 G A H
ski/wav/ski_ru_0004,в этой квартире он прозвучал всего дважды,V E 0 T A J K V A R T 0 I 0 R 0 I O 0 N P R A Z V U C H A 0 L F S 0 I G O 0 D V A 0 Z H D Y
ski/wav/ski_ru_0005,мы уж восемь лет как должны были ему,M Y 0 U 0 S H V O 0 S 0 I M 0 L 0 E 0 T K A 0 G D O 0 L Z H N Y B Y 0 L 0 I J I M U 0
ski/wav/ski_ru_0006,ты думаешь их будет семью семь,T Y 0 D U 0 M A J I S H I 0 H B U 0 D 0 I T S 0 I M 0 J U 0 S 0 E 0 M 0
ski/wav/ski_ru_0007,я ещё раз рассмеялся и открыл дверь,J A 0 J I S H 0 O 0 R A 0 S R A S M 0 I J A 0 L S 0 A I A T K R Y 0 L D V 0 E 0 R 0
ski/wav/ski_ru_0008,взглянуть и уйти уже навсегда,V Z G L 0 I N U 0 T 0 I U J T 0 I 0 U 0 Z H Y N A F S 0 I G D A 0
ski/wav/ski_ru_0009,что да чего ты там,S H T O D A 0 C H I G O 0 T Y 0 T A 0 M
ski/wav/ski_ru_0010,и не знает что это их последняя ночь,I N 0 I Z N A 0 J I T S H T O E 0 T A I 0 H P A S 0 L 0 E 0 D 0 N 0 I J A N O 0 C H
ski/wav/ski_ru_0012,господа офицеры мол сами знают который том должны читать,G A S P A D A 0 A F 0 I C E 0 R Y M O 0 L S A 0 M 0 I Z N A 0 J U T K A T O 0 R Y J T O 0 M D O 0 L Z H N Y C H I T A 0 T 0
ski/wav/ski_ru_0013,и долго стоял так как бы собираясь с мыслями,I D O 0 L G A S T A J A 0 L T A 0 K A 0 G B Y S A B 0 I R A 0 J I S 0 S M Y 0 S 0 L 0 I M 0 I
